cbsa_title,price_band,month_date,states,avg_median_sale_price,active_listings,homes_sold,median_days_on_market,hotness_score,demand_score,supply_score,absorption_rate,months_of_supply,absorption_12mo_avg,absorption_24mo_avg,absorption_velocity
"Abilene, TX",$200K-$300K,2026-03-01,tx,248656.66666666666,338.0,40.361111111111114,34.40277777777778,68.13118811881188,65.96534653465346,70.29702970297029,11.941157133464825,8.374397797660013,8.806138454225435,6.9244625188202855,1.8816759354051493
"Ada, OK",$200K-$300K,2026-03-01,ok,201180.55555555556,113.33333333333333,11.11111111111111,56.44444444444444,31.930693069306933,26.113861386138616,37.74752475247525,9.803921568627452,10.2,5.842162832146954,6.655267439476711,-0.8131046073297572
"Albertville, AL",$200K-$300K,2026-03-01,al,253431.91666666666,531.4444444444445,19.0,65.55555555555556,9.344059405940596,8.415841584158416,10.272277227722771,3.5751620321973654,27.970760233918128,4.318313045345739,4.509836948262729,-0.19152390291699017
"Amarillo, TX",$200K-$300K,2026-03-01,tx,283783.3333333333,608.5555555555555,43.52777777777778,73.23611111111111,76.23762376237624,64.97524752475248,87.5,7.152638305641775,13.98085513720485,5.727292920718306,5.335812732256829,0.39148018846147714
"Anniston-Oxford, AL",$200K-$300K,2026-03-01,al,210877.77777777778,353.77777777777777,18.63888888888889,80.27777777777777,37.09777227722772,39.10891089108911,35.086633663366335,5.268530150753769,18.9806259314456,5.50853351103566,,
"Ardmore, OK",$200K-$300K,2026-03-01,ok,211930.55555555556,297.22222222222223,9.88888888888889,85.70833333333333,22.957920792079207,20.544554455445542,25.371287128712872,3.327102803738318,30.0561797752809,3.7198576754337647,4.6700079009078745,-0.9501502254741099
"Athens, TN",$200K-$300K,2026-03-01,tn,262813.8888888889,264.77777777777777,12.083333333333334,74.54166666666667,52.78465346534654,65.22277227722772,40.34653465346535,4.56357532522031,21.91264367816092,5.143868735468319,5.192237442817556,-0.048368707349237816
"Athens, TX",$200K-$300K,2026-03-01,tx,262355.55555555556,648.2222222222222,16.47222222222222,104.83333333333333,28.310643564356436,20.42079207920792,36.20049504950495,2.5411381556393557,39.35244519392917,2.4918092988398377,2.961099426309223,-0.46929012746938525
"Atlanta-Sandy Springs-Roswell, GA",$200K-$300K,2026-03-01,ga,253142.34722222222,1310.0,57.97222222222223,81.65277777777777,25.94368811881188,3.3106435643564356,48.57673267326733,4.425360474978796,22.597029228557737,4.422574753214621,4.7465474867301,-0.32397273351547895
"Augusta-Richmond County, GA-SC",$200K-$300K,2026-03-01,ga,239590.58531743652,748.1111111111111,42.17852380952381,43.64384918253968,22.09158415841584,12.995049504950494,31.18811881188119,5.638002588529843,17.736777951014716,5.110791488434096,5.247766351705416,-0.13697486327132058
"Austin-Round Rock-San Marcos, TX",$200K-$300K,2026-03-01,tx,278833.68055555556,279.44444444444446,9.527777777777779,110.48611111111111,10.024752475247524,5.754950495049505,14.294554455445544,3.4095427435387675,29.32944606413994,3.513053689916076,4.850021521084269,-1.336967831168193
"Bainbridge, GA",$200K-$300K,2026-03-01,ga,229644.791666625,19.444444444444443,2.947875,176.83333325,14.01608910891089,22.896039603960396,5.136138613861386,15.160499999999999,6.596088519507932,5.835381885468773,4.855205022318723,0.9801768631500503
"Batesville, AR",$200K-$300K,2026-03-01,ar,212026.11111111112,117.22222222222223,7.083333333333333,68.04166666666667,49.443069306930695,40.90346534653465,57.98267326732673,6.042654028436019,16.54901960784314,6.9539747114207335,7.200352622836099,-0.24637791141536525
"Bay City, TX",$200K-$300K,2026-03-01,tx,214164.72222222222,284.3333333333333,6.722222222222222,128.41666666666666,21.132425742574256,0.495049504950495,41.76980198019802,2.3642047674873,42.29752066115702,2.6092729869978717,3.1220153346312185,-0.5127423476333468
"Beaumont-Port Arthur, TX",$200K-$300K,2026-03-01,tx,209416.31944444444,1049.2222222222222,59.166666666666664,86.52083333333334,34.31311881188118,29.64108910891089,38.98514851485149,5.639097744360902,17.733333333333334,4.759629107622803,4.536971092761361,0.22265801486144188
"Beckley, WV",$200K-$300K,2026-03-01,wv,215243.05555555556,178.77777777777777,9.694444444444445,86.625,59.99381188118812,71.10148514851485,48.886138613861384,5.422622747047856,18.441260744985673,,,
"Big Spring, TX",$200K-$300K,2026-03-01,tx,216390.0,163.22222222222223,1.0,1.4,21.287128712871286,10.396039603960396,32.17821782178218,0.6126616746085772,163.22222222222223,0.6954983247103182,10.169540097104047,-9.47404177239373
"Birmingham, AL",$200K-$300K,2026-03-01,al,249335.64814814818,575.0,24.36111111111111,72.32407407407408,47.90635313531353,47.99917491749176,47.81353135313532,4.236714975845411,23.603192702394526,5.002676126732072,5.26355807598506,-0.2608819492529877
"Blacksburg-Christiansburg-Radford, VA",$200K-$300K,2026-03-01,va,254323.61111111112,100.11111111111111,8.25,58.81944444444444,65.16089108910892,81.12623762376238,49.195544554455445,8.240843507214207,12.134680134680135,7.379465423499769,8.2148924755276,-0.8354270520278311
"Bluefield, WV-VA",$200K-$300K,2026-03-01,va,226783.33333333334,124.33333333333333,2.888888888888889,80.77777777777777,51.60891089108911,67.01732673267327,36.20049504950495,2.323503127792672,43.03846153846154,,,
"Bonham, TX",$200K-$300K,2026-03-01,tx,269621.3888888889,230.77777777777777,8.0,111.83333333333333,15.872524752475249,11.076732673267326,20.668316831683168,3.466538276360135,28.84722222222222,2.719481029168288,3.060720984723814,-0.3412399555555261
"Branson, MO",$200K-$300K,2026-03-01,mo,299943.05555555556,676.8888888888889,20.0,101.59722222222223,15.56311881188119,16.831683168316832,14.294554455445544,2.954694681549573,33.84444444444445,3.257045218027981,3.4606915594155825,-0.2036463413876013
"Brenham, TX",$200K-$300K,2026-03-01,tx,273922.06944444444,165.55555555555554,5.916666666666667,128.11111111111111,28.52722772277227,13.11881188118812,43.93564356435643,3.573825503355705,27.981220657276992,5.131681381465859,5.18473516212731,-0.05305378066145039
"Brookhaven, MS",$200K-$300K,2026-03-01,ms,263137.5,73.33333333333333,3.25,16.90277777777778,49.00990099009901,33.415841584158414,64.60396039603961,4.431818181818182,22.564102564102562,4.244524237072798,4.473253517217539,-0.2287292801447407
"Brownsville-Harlingen, TX",$200K-$300K,2026-03-01,tx,266405.44444444444,1600.3333333333333,51.30555555555556,87.875,18.069306930693067,12.438118811881187,23.700495049504948,3.2059293202804975,31.192203573362207,3.1825964939905798,3.134148462049042,0.048448031941537906
"Brownwood, TX",$200K-$300K,2026-03-01,tx,219433.33333333334,196.77777777777777,8.305555555555555,74.40277777777777,24.288366336633665,31.002475247524753,17.574257425742573,4.220779220779221,23.692307692307693,4.119303981762901,4.042730806725248,0.0765731750376526
"Calhoun, GA",$200K-$300K,2026-03-01,ga,280369.44444444444,261.55555555555554,11.472222222222221,65.36111111111111,38.58292079207921,28.279702970297027,48.886138613861384,4.386151231945624,22.79903147699758,4.717472121090973,5.36043835357338,-0.642966232482407
"Campbellsville, KY",$200K-$300K,2026-03-01,ky,247593.05555555556,82.11111111111111,3.8055555555555554,160.72222222222223,12.530940594059404,17.512376237623762,7.5495049504950495,4.634641407307171,21.576642335766426,3.5829405328177955,4.389094813433789,-0.8061542806159934
