cbsa_title,price_band,month_date,states,avg_median_sale_price,active_listings,homes_sold,median_days_on_market,hotness_score,demand_score,supply_score,absorption_rate,months_of_supply
"Topeka, KS",$200K-$300K,2026-03-01,ks,214250.0,255.33333333333334,45.166666666666664,21.13888888888889,91.98638613861384,91.83168316831684,92.14108910891088,17.68929503916449,5.653136531365314
"Salina, KS",$200K-$300K,2026-03-01,ks,209465.27777777778,89.77777777777777,15.277777777777779,38.81944444444444,85.70544554455446,91.89356435643565,79.51732673267327,17.01732673267327,5.876363636363636
"Bainbridge, GA",$200K-$300K,2026-03-01,ga,229644.791666625,19.444444444444443,2.947875,176.83333325,14.01608910891089,22.896039603960396,5.136138613861386,15.160499999999999,6.596088519507932
"Abilene, TX",$200K-$300K,2026-03-01,tx,248656.66666666666,338.0,40.361111111111114,34.40277777777778,68.13118811881188,65.96534653465346,70.29702970297029,11.941157133464825,8.374397797660013
"Richmond, VA",$200K-$300K,2026-03-01,va,283961.1111111111,69.22222222222223,8.055444444444444,101.69444444444446,61.77289603960396,53.43440594059406,70.11138613861385,11.63707865168539,8.593221975475526
"Jefferson City, MO",$200K-$300K,2026-03-01,mo,293441.6666666667,127.77777777777777,13.333333333333334,18.09722222222222,82.36386138613861,91.27475247524752,73.45297029702971,10.434782608695652,9.583333333333332
"Wichita, KS",$200K-$300K,2026-03-01,ks,252694.90740740742,1713.2222222222222,176.22222222222223,41.291666666666664,63.0259900990099,71.36963696369638,54.68234323432343,10.28601076593813,9.721941992433795
"Cincinnati, OH-KY-IN",$200K-$300K,2026-03-01,ky,275633.3333333333,215.66666666666666,21.583333333333332,26.680555555555557,64.13985148514851,59.28217821782178,68.99752475247524,10.007727975270479,9.992277992277993
"Owensboro, KY",$200K-$300K,2026-03-01,ky,245704.16666666666,227.55555555555554,22.47222222222222,34.43055555555556,65.40841584158416,54.88861386138614,75.92821782178217,9.87548828125,10.126081582200246
"Ada, OK",$200K-$300K,2026-03-01,ok,201180.55555555556,113.33333333333333,11.11111111111111,56.44444444444444,31.930693069306933,26.113861386138616,37.74752475247525,9.803921568627452,10.2
"St. Louis, MO-IL",$200K-$300K,2026-03-01,mo,279274.0555555555,2506.4444444444443,241.33333333333331,34.38194444444444,68.90470297029702,70.88490099009901,66.92450495049505,9.62851316606082,10.385819521178638
"Kansas City, MO-KS",$200K-$300K,2026-03-01,"ks, mo",262783.7962962963,2494.6666666666665,234.02777777777777,43.8287037037037,60.12788778877888,54.39356435643564,65.86221122112211,9.381124176019954,10.659703264094954
"Manhattan, KS",$200K-$300K,2026-03-01,ks,238844.44444444444,115.11111111111111,10.527777777777779,48.875,41.738861386138616,22.58663366336634,60.89108910891089,9.145752895752896,10.934036939313984
"Troy, AL",$200K-$300K,2026-03-01,al,231475.45833325002,16.11111111111111,1.45825,65.541666625,34.83910891089109,17.698019801980198,51.98019801980198,9.051206896551726,11.048250376211973
"Lynchburg, VA",$200K-$300K,2026-03-01,va,266964.5833333334,199.8888888888889,17.666666666666664,37.49305555555556,59.80816831683168,63.76856435643565,55.84777227722772,8.83824346859366,11.314465408805034
"Henderson, KY",$200K-$300K,2026-03-01,ky,231166.66666666666,77.88888888888889,6.805555555555555,37.5,58.570544554455445,57.85891089108911,59.28217821782178,8.737517831669045,11.444897959183674
"Ottawa, KS",$200K-$300K,2026-03-01,ks,245804.86111111112,59.333333333333336,5.138888888888889,44.625,59.80816831683168,67.63613861386139,51.98019801980198,8.661048689138577,11.545945945945945
"Springfield, MO",$200K-$300K,2026-03-01,mo,251796.07638888888,1114.7777777777778,95.77777777777779,53.916666666666664,49.41212871287129,48.23638613861387,50.58787128712871,8.591647563041963,11.639211136890951
"Elizabeth City, NC",$200K-$300K,2026-03-01,nc,289851.18055555556,194.33333333333334,16.444444444444443,93.48611111111111,54.238861386138616,32.98267326732673,75.4950495049505,8.461978273299026,11.817567567567568
"Blacksburg-Christiansburg-Radford, VA",$200K-$300K,2026-03-01,va,254323.61111111112,100.11111111111111,8.25,58.81944444444444,65.16089108910892,81.12623762376238,49.195544554455445,8.240843507214207,12.134680134680135
"Columbus, GA-AL",$200K-$300K,2026-03-01,"al, ga",235575.69444444444,739.8888888888889,60.72222222222223,35.229166666666664,46.983292079207914,18.935643564356436,75.0309405940594,8.206937978675477,12.18481244281793
"Louisville/Jefferson County, KY-IN",$200K-$300K,2026-03-01,ky,282368.75,2531.333333333333,204.08333333333334,63.77083333333333,66.41398514851485,61.16955445544554,71.65841584158416,8.06228601527522,12.403429971416903
"Tulsa, OK",$200K-$300K,2026-03-01,ok,276811.53819444444,3153.0,245.55555555555554,53.638888888888886,41.86262376237624,35.62809405940594,48.09715346534654,7.787997321774675,12.84027149321267
"Warrensburg, MO",$200K-$300K,2026-03-01,mo,289484.72222222225,191.66666666666666,14.805555555555555,78.45833333333333,63.366336633663366,66.33663366336634,60.3960396039604,7.72463768115942,12.945590994371482
"Joplin, MO-KS",$200K-$300K,2026-03-01,mo,215403.47222222222,676.6666666666667,51.638888888888886,42.20833333333333,67.93007425742574,65.25371287128712,70.60643564356437,7.631362889983579,13.103819257665414
"Cape Girardeau, MO-IL",$200K-$300K,2026-03-01,mo,271622.22222222225,208.0,15.722222222222221,40.333333333333336,56.34282178217822,57.42574257425742,55.25990099009901,7.558760683760683,13.229681978798586
"St. Joseph, MO-KS",$200K-$300K,2026-03-01,mo,200247.20833333334,226.66666666666666,16.75,56.638888888888886,67.54331683168317,59.15841584158416,75.92821782178217,7.389705882352941,13.53233830845771
"Fayetteville, NC",$200K-$300K,2026-03-01,nc,257294.44444444444,1199.2222222222222,87.94444444444444,49.138888888888886,35.73638613861386,13.490099009900993,57.98267326732673,7.333456870193644,13.636133922931142
